# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,density,density_error_max,density_error_min
HATS-11 b,Confirmed,0.85,0.12,0.12,0.85,0.12,0.12,1.51,0.078,0.078,3.6191612999999996,9.9e-06,9.9e-06,0.04614,0.00093,0.00093,0.34,0.34,0.0,88.31,0.86,0.86,,2016.0,2016-05-01,,,,,,,,,,2456574.9657,0.0013,0.0013,,,,,,,,,,,,,112.0,15.0,15.0,1637.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-11,289.400000012,-22.390000013,14.0,,,,,906.0,41.0,41.0,-0.39,0.06,0.06,1.0,0.06,0.06,1.44,0.06,0.06,G0,7.7,1.6,2.2,6060.0,150.0,150.0,,,,0.05893855371225631,0.01155176650871072,0.01155176650871072
HATS-13 b,Confirmed,0.5429999999999999,0.07200000000000001,0.07200000000000001,0.5429999999999999,0.07200000000000001,0.07200000000000001,1.212,0.035,0.035,3.0440499,2.7000000000000004e-06,2.7000000000000004e-06,0.04057,0.00041,0.00041,0.18,0.18,0.0,88.55,0.43,0.43,,2015.0,2015-07-27,,,,,,,,,,2456340.31705,0.00026000000000000003,0.00026000000000000003,,,,,,,0.249,0.071,0.062,,,,78.0,10.0,10.0,1244.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-13,316.962500017,-26.096666679000002,13.89,,,,,476.0,12.0,12.0,0.05,0.06,0.06,0.9620000000000001,0.028999999999999998,0.028999999999999998,0.887,0.019,0.019,,2.5,1.7,1.7,5523.0,69.0,69.0,,,,0.07281206712597686,0.008202075475165422,0.008202075475165422
HATS-14 b,Confirmed,1.071,0.07,0.07,1.071,0.07,0.07,1.0390000000000001,0.0022,0.0032,2.7667641,2.7000000000000004e-06,2.7000000000000004e-06,0.03815,0.00032,0.00032,0.142,0.142,0.0,88.83,0.66,0.66,,2015.0,2015-08-01,,,,,,,,,,2456408.76462,0.00021,0.00021,,,,,,,0.18,0.1,0.12,,,,158.0,10.0,10.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-14,313.216666684,-25.687222239,13.79,,,,,513.0,14.0,14.0,0.33,0.06,0.06,0.9670000000000001,0.024,0.024,0.9329999999999999,0.023,0.015,,4.9,1.7,1.7,5346.0,60.0,60.0,,,,0.22795767500872074,0.016095444280802024,0.016022605201264386
HATS-18 b,Confirmed,1.98,0.077,0.077,,,,1.337,0.049,0.1,0.8378434000000001,4.7e-07,4.7e-07,0.01761,0.00027,0.00027,0.166,0.166,0.0,85.5,2.8,1.9,,2016.0,2016-06-06,,,,,,,,,,2457089.90598,0.00026000000000000003,0.00026000000000000003,,,,,,,0.29,0.11,0.15,,,,415.2,10.0,10.0,2060.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-18,173.95833335,-29.156111119000002,14.0,,,,,645.0,25.0,36.0,0.28,0.08,0.08,1.037,0.047,0.047,1.02,0.031,0.057,G,4.2,,,5600.0,120.0,120.0,,,,0.19777999390563422,0.046918778512199416,0.02654785498746762
HATS-19 b,Confirmed,0.42700000000000005,0.071,0.071,,,,1.66,0.21,0.27,4.569673000000001,1e-05,1e-05,0.0589,0.0013,0.0013,0.3,0.1,0.1,86.6,1.7,1.7,,2016.0,2016-07-11,44.0,50.0,50.0,,,,,,,2456660.0,0.00059,0.00059,,,,,,,0.32,0.13,0.11,,,,46.1,8.0,8.0,1570.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-19,147.408333346,-33.218611116999995,13.0,,,,,780.0,110.0,110.0,0.24,0.05,0.05,1.3030000000000002,0.83,0.83,1.74,0.25,0.25,G0,3.94,0.5,0.96,5896.0,77.0,77.0,,,,0.022285121262454154,0.01098857537130125,0.008604336030606435
HATS-20 b,Confirmed,0.273,0.035,0.035,,,,0.7759999999999999,0.055,0.055,3.7992969,7.9e-06,7.9e-06,0.046189999999999995,0.00044,0.00044,0.5,0.5,0.0,87.16,0.54,0.54,,2016.0,2016-07-11,,,,,,,,,,2457121.16516,0.00055,0.00055,,,,,,,0.551,0.075,0.07200000000000001,,,,37.9,4.8,4.8,1147.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-20,198.13333334400002,-45.590555573,13.77,,,,,454.0,22.0,30.0,0.03,0.05,0.05,0.91,0.026000000000000002,0.026000000000000002,0.892,0.04,0.057,G9V,6.4,3.4,3.4,5406.0,49.0,49.0,,,,0.13947259261936498,0.030054979580797486,0.030054979580797486
HATS-21 b,Confirmed,0.332,0.03,0.04,,,,1.123,0.054000000000000006,0.147,3.5543972999999998,5.7999999999999995e-06,5.7999999999999995e-06,0.04676,0.00037999999999999997,0.00037999999999999997,0.0,,,85.04,0.65,0.23,,2016.0,2016-07-28,,,,,,,,,,2457109.2253799997,0.00057,0.00057,,,,,,,0.853,0.013999999999999999,0.034,,,,41.6,4.3,4.3,1284.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-21,280.183333348,-58.459166683,12.2,,,,,286.0,12.0,24.0,0.3,0.04,0.04,1.08,0.026000000000000002,0.026000000000000002,1.021,0.036000000000000004,0.08900000000000001,G4V,2.3,1.7,1.7,5695.0,67.0,67.0,,,,0.055964187842101706,0.022090747298835273,0.00824592476323808
HATS-23 b,Confirmed,1.47,0.07200000000000001,0.07200000000000001,,,,1.86,0.4,0.3,2.1605156,4.5e-06,4.5e-06,0.03397,0.00047000000000000004,0.00047000000000000004,0.114,0.114,0.0,81.02,0.62,0.93,,2015.0,2016-07-11,,,,,,,,,,2457072.85266,0.0007,0.0007,,,,,,,0.9490000000000001,0.049,0.028999999999999998,,,,219.3,8.6,8.6,1654.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-23,286.36666667599997,-50.067500001999996,13.9,,,,,747.0,46.0,46.0,0.28,0.07,0.07,1.121,0.046,0.046,1.199,0.081,0.061,,4.2,1.5,1.5,5780.0,120.0,120.0,,,,0.05453683027524301,0.02667933227786953,0.03540348095454258
HATS-24 b,Confirmed,2.44,0.18,0.18,,,,1.4869999999999999,0.054000000000000006,0.078,1.3484954,1.3e-06,1.3e-06,0.02547,0.00022999999999999998,0.00022999999999999998,0.24,0.24,0.0,86.6,1.2,1.2,,2016.0,2016-07-11,,,,,,,,,,2457038.47327,0.00037999999999999997,0.00037999999999999997,,,,,,,0.276,0.1,0.08,,,,396.0,29.0,29.0,2067.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-24,268.891666678,-61.747222248,12.8,,,,,510.0,15.0,15.0,0.0,0.05,0.05,1.212,0.033,0.033,1.172,0.033,0.033,,0.88,0.045,0.067,6346.0,81.0,81.0,,,,0.1771610768698041,0.04235719870529304,0.037274974750734866
HATS-25 b,Confirmed,0.613,0.042,0.042,,,,1.26,0.1,0.1,4.2986432,4.5e-06,4.5e-06,0.051629999999999995,0.0006,0.0006,0.08800000000000001,0.08800000000000001,0.08800000000000001,86.93,0.71,0.71,,2016.0,2016-07-28,,,,,,,,,,2456870.36872,0.0005099999999999999,0.0005099999999999999,,,,,,,0.5379999999999999,0.105,0.075,,,,76.8,5.0,5.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-25,207.907500013,-23.781166693600003,13.1,,,,,466.0,30.0,30.0,0.02,0.05,0.05,0.9940000000000001,0.035,0.035,1.107,0.069,0.069,G,7.5,1.9,1.9,5715.0,73.0,73.0,,,"2MASS 13513786-2346522, GSC 6716-01190",0.07315773143298947,0.017687436943854554,0.017687436943854554
