# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,density,density_error_max,density_error_min
HATS-26 b,Confirmed,0.65,0.076,0.076,,,,1.75,0.21,0.21,3.3023881,7.6e-06,7.6e-06,0.04735,0.0006799999999999999,0.00133,0.122,0.122,0.122,86.2,1.9,1.9,,2016.0,2016-07-28,,,,,,,,,,2456867.4232,0.0012,0.0012,,,,,,,0.33,0.17,0.12,,,,73.3,8.0,8.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-26,144.926833347,-28.5855833468,12.955,,,,,907.0,49.0,69.0,-0.02,0.05,0.05,1.2990000000000002,0.055999999999999994,0.113,2.04,0.11,0.15,F,4.04,0.94,0.62,6071.0,81.0,81.0,,,"2MASS 09394244-2835081, GSC 6614-01083",0.028954135419633438,0.010653233353891367,0.010653233353891367
HATS-27 b,Confirmed,0.53,0.13,0.13,,,,1.5,0.11,0.2,4.6370379999999995,1.4000000000000001e-05,1.4000000000000001e-05,0.0611,0.0006799999999999999,0.0006799999999999999,0.29,0.29,0.29,87.3,1.3,1.3,,2016.0,2016-07-28,,,,,,,,,,2457029.3374,0.0011,0.0011,,,,,,,0.36,0.19,0.15,,,,51.0,13.0,13.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-27,193.55250000400002,-46.587722237399994,12.8,,,,,840.0,51.0,80.0,0.09,0.04,0.04,1.415,0.048,0.048,1.74,0.1,0.17,F,2.3,0.22,0.22,6438.0,64.0,64.0,,,"2MASS 12541261-4635157, GSC 8245-02236",0.037489831039424236,0.015768028621498432,0.009580100691960754
HATS-28 b,Confirmed,0.672,0.087,0.087,,,,1.194,0.07,0.07,3.1810781,3.9e-06,3.9e-06,0.04131,0.00053,0.00053,0.10099999999999999,0.10099999999999999,0.10099999999999999,86.17,0.42,0.42,,2016.0,2016-07-28,,,,,,,,,,2457034.2830000003,0.00045999999999999996,0.00045999999999999996,,,,,,,0.643,0.047,0.039,,,,97.0,12.0,12.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-28,284.400000012,-49.138472228999994,,,,,,521.0,25.0,25.0,0.01,0.06,0.06,0.929,0.036000000000000004,0.036000000000000004,0.922,0.04,0.04,G,6.2,2.8,2.8,5498.0,84.0,84.0,,,"2MASS 18573592-4908184, GSC 8382-00661",0.09424703220683839,0.018493218434489752,0.018493218434489752
HATS-29 b,Confirmed,0.653,0.063,0.063,,,,1.251,0.061,0.061,4.605874900000001,6.3e-06,6.3e-06,0.05475,0.00088,0.00088,0.079,0.079,0.079,87.37,0.34,0.34,,2016.0,2016-07-28,,,,,,,,,,2457031.9561799997,0.00037999999999999997,0.00037999999999999997,,,,,,,0.502,0.040999999999999995,0.046,,,,78.4,7.1,7.1,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-29,135.096000008,-54.89319447,12.6,,,,,351.0,15.0,15.0,0.16,0.08,0.08,1.032,0.049,0.049,1.073,0.038,0.038,G,5.5,1.7,2.6,5670.0,110.0,110.0,,,"2MASS 19002314-5453354, GSC 8763-00475",0.0796255862514605,0.012682160965729404,0.012682160965729404
HATS-30 b,Confirmed,0.706,0.039,0.039,,,,1.175,0.052000000000000005,0.052000000000000005,3.1743516,2.6e-06,2.6e-06,0.043539999999999995,0.00042,0.00042,0.048,0.048,0.048,86.84,0.48,0.48,,2016.0,2016-07-28,,,,,,,,,,2456629.76156,0.00036,0.00036,,,,,,,0.48700000000000004,0.061,0.052000000000000005,,,,91.8,4.7,4.7,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-30,5.61870834283,-59.9425555816,12.192,,,,,339.0,16.0,16.0,0.06,0.05,0.05,1.093,0.031,0.031,1.061,0.039,0.039,,2.3,1.2,1.2,5943.0,70.0,70.0,,,"2MASS 00222848-5956331, GSC 8471-00231",0.10389687663616248,0.01437678993267843,0.01437678993267843
HATS-31 b,Confirmed,0.88,0.12,0.12,,,,1.64,0.22,0.22,3.37796,1.2e-05,1.2e-05,0.0478,0.0012,0.0012,0.233,0.233,0.0,85.0,1.6,2.5,,2016.0,2016-07-11,,,,,,,,,,2456960.1476,0.0011,0.0011,,,,,,,0.48,0.21,0.11,,,,102.0,13.0,13.0,1823.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-31,191.70416668299998,-24.427500017,13.1,,,,,872.0,84.0,84.0,0.0,0.07,0.07,1.275,0.096,0.096,1.87,0.18,0.18,,4.3,1.1,1.1,6050.0,120.0,120.0,,,,0.047628019054719785,0.02000133930014166,0.02000133930014166
HATS-32 b,Confirmed,0.92,0.1,0.1,,,,1.249,0.096,0.14400000000000002,2.8126548,5.5e-06,5.5e-06,0.04024,0.00053,0.00053,0.47100000000000003,0.47100000000000003,0.0,87.1,1.2,1.2,,2016.0,2016-07-11,,,,,,,,,,2456454.6252,0.0011,0.0011,,,,,,,0.4,0.16,0.13,,,,124.0,14.0,14.0,1437.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-32,346.075000006,-21.271944454,14.38,,,,,839.0,55.0,77.0,0.39,0.05,0.05,1.099,0.044000000000000004,0.044000000000000004,1.097,0.063,0.098,,3.5,1.8,1.8,5700.0,110.0,110.0,,,,0.11272283502494024,0.04058502553371081,0.028331174559113863
HATS-33 b,Confirmed,1.192,0.053,0.053,,,,1.23,0.08,0.11,2.5495551,6.1e-06,6.1e-06,0.03727,0.00037,0.00037,0.08,0.08,0.0,87.62,0.92,0.92,,2016.0,2016-07-11,,,,,,,,,,2456497.23181,0.0005,0.0005,,,,,,,0.33,0.12,0.12,,,,170.1,6.8,6.8,1429.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-33,294.633333344,-55.330000016999996,11.9,,,,,355.0,12.0,12.0,0.29,0.05,0.05,1.062,0.032,0.032,1.022,0.037000000000000005,0.05,,3.0,0.17,0.17,5659.0,85.0,85.0,,,,0.1529228248167703,0.04182095761295758,0.030919760822480432
HATS-34 b,Confirmed,0.941,0.07200000000000001,0.07200000000000001,,,,1.43,0.19,0.19,2.1061607,4.7e-06,4.7e-06,0.03166,0.00033999999999999997,0.00033999999999999997,0.0,,,82.28,0.59,0.43,,2016.0,2016-07-11,,,,,,,,,,2456634.85732,0.00075,0.00075,,,,,,,0.937,0.034,0.022000000000000002,,,,152.0,11.0,11.0,1445.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-34,0.7750000020000001,-62.469444456000005,13.85,,,,,532.0,32.0,32.0,0.25,0.07,0.07,0.955,0.031,0.031,0.98,0.047,0.047,,7.7,2.7,2.7,5380.0,73.0,73.0,,,,0.07682328992927324,0.031117422705464647,0.031117422705464647
HATS-35 b,Confirmed,1.222,0.078,0.078,,,,1.464,0.044000000000000004,0.069,1.8209933,1.6e-06,1.6e-06,0.03199,0.00033,0.00033,0.0,,,86.9,1.3,1.3,,2016.0,2016-07-11,,,,,,,,,,2456981.80199,0.00041,0.00041,,,,,,,0.26,0.14,0.11,,,,170.0,10.0,10.0,2037.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-35,296.687500015,-63.565555579,12.56,,,,,557.0,17.0,22.0,0.21,0.06,0.06,1.317,0.4,0.4,1.433,0.038,0.055999999999999994,,2.13,0.51,0.51,6300.0,100.0,100.0,,,,0.09297353983926447,0.015013457957393318,0.011084354811707397
HATS-39 b,Confirmed,0.63,0.13,0.13,,,,1.57,0.12,0.12,4.5776348,7.2999999999999996e-06,7.2999999999999996e-06,0.06,0.00058,0.00058,0.275,0.275,0.0,84.98,0.49,0.49,,2018.0,2018-05-14,,,,,,,,,,2457315.28338,0.00055,0.00055,,,,,,,0.696,0.04,0.03,,,,62.0,13.0,13.0,1645.0,43.0,43.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-39,112.42083334700001,-29.9377778,12.75,,,,,773.0,,,0.0,,,1.379,,,1.621,,,,2.06,,,6572.0,,,,,,0.03886449088433223,0.01024418129174861,0.01024418129174861
HATS-40 b,Confirmed,1.59,0.24,0.24,,,,1.58,0.12,0.16,3.2642736,6e-06,6e-06,0.04997,0.00074,0.00074,0.312,0.312,0.0,85.8,1.8,1.8,,2018.0,2018-04-16,,,,,,,,,,2456962.676,0.001,0.001,,,,,,,0.35,0.16,0.13,,,,162.0,23.0,23.0,2100.0,69.0,69.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-40,100.57083333899999,-29.776944468000003,13.4,,,,,1431.0,75.0,116.0,0.01,0.077,0.077,1.56,0.07,0.07,2.26,0.11,0.18,,2.07,0.34,0.34,6460.0,130.0,130.0,,,,0.09623593145627689,0.03725870771904428,0.03184737022478449
HATS-42 b,Confirmed,1.88,0.15,0.15,,,,1.4,0.14,0.25,2.292102,2.1000000000000002e-06,2.1000000000000002e-06,0.03689,0.00065,0.00065,0.22899999999999998,0.22899999999999998,0.0,85.1,2.1,2.1,,2018.0,2018-04-16,,,,,,,,,,2456768.60734,0.0006900000000000001,0.0006900000000000001,,,,,,,0.46,0.18,0.15,,,,246.0,17.0,17.0,1856.0,76.0,105.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-42,108.450000016,-33.437222234000004,13.6,,,,,942.0,80.0,126.0,0.22,0.07,0.07,1.273,0.067,0.067,1.48,0.12,0.2,,3.26,0.8,0.8,6060.0,120.0,120.0,,,,0.1635630246061024,0.09099306630598074,0.054860706243707355
HATS-43 b,Confirmed,0.261,0.054000000000000006,0.054000000000000006,,,,1.18,0.05,0.05,4.388849700000001,5.9e-06,5.9e-06,0.04944,0.00045999999999999996,0.00045999999999999996,0.17300000000000001,0.08900000000000001,0.08900000000000001,89.24,0.41,0.29,,2017.0,2017-07-26,330.0,120.0,120.0,,,,2457636.08946,0.00025,0.00025,,,,,,,,,,,,,,,,37.5,8.0,8.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-43,80.5381666697,-30.970833356,13.593,,,,,341.0,17.0,17.0,0.05,0.040999999999999995,0.040999999999999995,0.8370000000000001,0.023,0.023,0.812,0.032,0.032,K,8.6,4.8,3.0,5099.0,61.0,61.0,,,2MASS-05220915-3058150,0.03792327856090267,0.005237690756406417,0.005237690756406417
HATS-44 b,Confirmed,0.56,0.11,0.11,,,,1.067,0.071,0.125,2.7439004000000002,3.2e-06,3.2e-06,0.036489999999999995,0.0003,0.0003,0.27899999999999997,,0.0,84.65,0.38,0.38,,2017.0,2017-07-26,,,,,,,2456931.1138400002,0.00061,0.00061,,,,,,,,,,,,,,,,90.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-44,84.3267083395,-27.9726111352,14.427999999999999,,,,,463.0,23.0,23.0,0.32,0.071,0.071,0.86,0.021,0.021,0.847,0.036000000000000004,0.036000000000000004,K,9.7,4.0,2.4,5080.0,100.0,100.0,,,2MASS-05371842-2758214,0.11005408298540115,0.04052904740929652,0.025084169034121664
HATS-45 b,Confirmed,0.7,0.15,0.15,,,,1.286,0.09300000000000001,0.09300000000000001,4.1876244,5.6e-06,5.6e-06,0.05511,0.0006900000000000001,0.0006900000000000001,0.24,,0.0,85.61,0.42,0.42,,2017.0,2017-07-26,,,,,,,2456731.19533,0.00073,0.00073,,,,,,,,,,,,,,,,75.0,16.0,16.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-45,101.994291686,-21.910694471,13.307,,,,,818.0,41.0,41.0,0.02,0.068,0.068,1.272,0.048,0.048,1.315,0.064,0.064,F,1.52,0.7,0.7,6450.0,110.0,110.0,,,2MASS-06475862-2154385,0.07857538632376189,0.020724856354315754,0.020724856354315754
HATS-46 b,Confirmed,0.17300000000000001,0.062,0.062,,,,0.903,0.045,0.057999999999999996,4.7423729,4.9000000000000005e-06,4.9000000000000005e-06,0.05367,0.00053,0.00053,0.5589999999999999,,0.0,87.32,0.31,0.22,,2017.0,2017-07-26,,,,,,,2457376.68539,0.0006,0.0006,,,,,,,,,,,,,,,,22.1,8.0,8.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-46,6.70241668286,-56.31611113,13.634,,,,,448.0,22.0,22.0,-0.06,0.046,0.046,0.917,0.027000000000000003,0.027000000000000003,0.853,0.03,0.04,G,3.0,2.1,3.4,5495.0,69.0,69.0,,,2MASS-00264858-5618580,0.05609113692058697,0.011353964693923909,0.009078233403001712
HATS-50 b,Confirmed,0.39,0.1,0.1,,,,1.13,0.075,0.075,3.8297015,4.6e-06,4.6e-06,0.050460000000000005,0.0006,0.0006,0.516,0.516,0.0,87.54,0.66,0.66,,2017.0,2017-12-15,,,,,,,,,,2456870.34792,0.0006799999999999999,0.0006799999999999999,,,,,,,0.42100000000000004,0.1,0.08,,,,45.0,12.0,12.0,1348.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-50,300.42916668099997,-26.07750001,14.0,,,,,717.0,43.0,43.0,0.3,0.055999999999999994,0.055999999999999994,1.168,0.042,0.042,1.117,0.06,0.06,,1.2,1.1,1.1,5990.0,110.0,110.0,,,,0.06452688009522425,0.014377596842839735,0.014377596842839735
HATS-51 b,Confirmed,0.768,0.045,0.045,,,,1.41,0.19,0.19,3.3488702000000004,3.9e-06,3.9e-06,0.04639,0.0007700000000000001,0.0007700000000000001,0.33,0.33,0.0,87.1,1.6,1.6,,2017.0,2017-12-15,,,,,,,,,,2457042.00405,0.00058,0.00058,,,,,,,0.3,0.14,0.14,,,,94.9,5.1,5.1,1553.0,92.0,92.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-51,102.845833341,-29.058611119000002,12.5,,,,,478.0,59.0,59.0,0.3,0.03,0.03,1.187,0.06,0.06,1.44,0.18,0.18,,4.74,0.5,0.7,5758.0,58.0,58.0,,,,0.06540565101426661,0.026603893315255398,0.026603893315255398
HATS-52 b,Confirmed,2.24,0.15,0.15,,,,1.382,0.086,0.086,1.3665436000000002,9.4e-07,9.4e-07,0.024980000000000002,0.0004,0.0004,0.24600000000000002,0.256,0.0,84.7,1.1,1.1,,2017.0,2017-12-15,,,,,,,,,,2456929.03039,0.00033,0.00033,,,,,,,0.231,0.07400000000000001,0.07400000000000001,,,,380.0,23.0,23.0,1834.0,73.0,73.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-52,140.08750000700002,-31.269444452,13.7,,,,,631.0,44.0,44.0,0.22,0.1,0.1,1.111,0.054000000000000006,0.054000000000000006,1.046,0.057999999999999996,0.057999999999999996,,1.2,1.1,1.5,6010.0,150.0,150.0,,,,0.20259805883728882,0.04851859688075814,0.04851859688075814
HATS-53 b,Confirmed,0.595,0.08900000000000001,0.08900000000000001,,,,1.34,0.055999999999999994,0.055999999999999994,3.8537767999999994,3.8e-06,3.8e-06,0.04753,0.00066,0.00066,0.33,0.33,0.0,88.79,0.55,0.55,,2017.0,2017-12-15,,,,,,,,,,2457236.75653,0.00049,0.00049,,,,,,,0.198,0.096,0.08199999999999999,,,,79.0,12.0,12.0,1312.0,25.0,25.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-53,176.629166677,-33.860000025,13.8,,,,,613.0,19.0,19.0,0.01,0.066,0.066,0.9640000000000001,0.04,0.04,1.1,0.024,0.031,,8.0,1.9,1.9,5644.0,94.0,94.0,,,,0.05903559725993414,0.009076792253065173,0.009076792253065173
HATS-59 b,Confirmed,0.8059999999999999,0.069,0.069,,,,1.126,0.077,0.077,5.416081,1.6e-05,1.6e-05,0.06112000000000001,0.0076,0.0076,0.129,0.049,0.049,88.1,0.33,0.33,,2018.0,2018-05-16,227.0,29.0,29.0,,,,,,,2456620.66527,0.0005200000000000001,0.0005200000000000001,,,,,,,0.457,0.066,0.055999999999999994,,,,92.1,7.8,7.8,1128.0,40.0,40.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-59,170.325000006,-22.388055567,14.0,,,,,654.0,14.0,14.0,0.18,0.064,0.064,1.038,0.039,0.039,1.036,0.067,0.067,,4.3,2.3,2.3,5670.0,91.0,91.0,,,,0.1347818027666477,0.0291726870463444,0.0291726870463444
HATS-8 b,Confirmed,0.138,0.019,0.019,0.138,0.019,0.019,0.873,0.075,0.125,3.583893,1e-05,1e-05,0.046669999999999996,0.00055,0.00055,0.38,0.38,0.0,87.8,1.8,1.2,,2015.0,2015-06-04,,,,,,,,,,2456672.1102,0.0012,0.0012,,,,,,,0.36,0.2,0.2,,,,17.7,2.5,2.5,1324.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-8,294.941666682,-25.74833336,14.03,,,,,829.0,48.0,110.0,0.21,0.08,0.08,1.056,0.037000000000000005,0.037000000000000005,1.0859999999999999,0.059000000000000004,0.149,G2V,5.1,1.7,1.7,5679.0,50.0,50.0,,,,0.04951624988877256,0.021290663549890648,0.012796551296585159
HATS-9 b,Confirmed,0.8390000000000001,0.03,0.032,0.8370000000000001,0.028999999999999998,0.028999999999999998,1.065,0.098,0.098,1.9153073,5.2e-06,5.2e-06,0.03048,0.00037999999999999997,0.00037999999999999997,0.129,0.129,0.0,86.5,2.5,1.6,,2015.0,2015-08-17,,,,,,,,,,2456124.25896,0.00086,0.00086,,,,,,,,,,,,,133.5,3.4,3.4,1823.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-9,290.808333338,-20.149722238,13.3,,,,,622.0,42.0,30.0,0.34,0.05,0.05,1.03,0.04,0.04,1.5,0.1,0.04,,10.8,1.5,1.5,5336.0,70.0,70.0,,,,0.16581527220652958,0.046080867190353834,0.0460438592828339
HD 149026 b,Confirmed,0.35700000000000004,0.011000000000000001,0.013999999999999999,0.35600000000000004,0.011000000000000001,0.013000000000000001,0.718,0.065,0.065,2.8758916,1.4e-06,1.4e-06,0.04288,0.00033,0.00033,0.0,,,85.3,0.8,0.8,0.000543,2005.0,2015-02-24,,,,2453317.838,0.003,0.003,,,,2454597.70713,0.00016,0.00016,,,,,,,,,,,,,54.63,11.9,11.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 149026,247.62083330000002,38.3472222,8.15,,,,,78.9,6.6,6.6,0.36,0.05,0.05,1.3,0.1,0.1,1.4969999999999999,0.069,0.069,G0 IV,2.0,0.8,0.8,6147.0,50.0,50.0,,,,0.23025351781970857,0.06261706318511608,0.06258530459096363
HD 189733 b,Confirmed,1.1420000000000001,0.025,0.025,1.138,0.025,0.025,1.138,0.077,0.077,2.21857312,7.6e-07,7.6e-07,0.03142,0.0005200000000000001,0.0005200000000000001,0.0041,0.002,0.002,85.51,0.05,0.05,0.001628,2005.0,2018-01-30,90.0,,,2454037.6119999997,,,,,,2453988.80336,0.00023999999999999998,0.00023999999999999998,,,,,,,,,,,,,205.0,6.0,6.0,,,,,,0.4,0.11,0.12,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"CO2, H, H2O, Na, C, O I, CO, CH4",HD 189733,300.1791667,22.7108333,7.67,,,,,19.3,0.2,0.2,-0.03,0.04,0.04,0.8,0.4,0.4,0.805,0.016,0.016,K1-K2,0.6,,,4875.0,43.0,43.0,,Yes,,0.18499104616563175,0.03783462881919827,0.03783462881919827
HD 209458 b,Confirmed,0.69,0.017,0.017,,0.017,0.017,1.38,0.018000000000000002,0.018000000000000002,3.52472,2.8199999999999998e-05,2.8199999999999998e-05,0.04747,0.00055,0.00055,0.0082,0.0082,0.0078,86.59,0.046,0.046,0.00101,1999.0,2017-03-28,43.8,68.0,68.0,2452968.399,,,,,,2453344.76824,0.000617,0.000617,,,,,,,,,,,0.021,0.021,84.3,0.88,0.88,,,,,,0.038,0.045,0.045,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"CO2, H, TiO, O2, Na, Mg, C, O I, CH4, NH3, VO, H2, HCN, H2O, K, CO",HD 209458,330.7916667,18.8844444,7.65,,,,,47.0,,,0.02,0.05,0.05,1.148,0.022000000000000002,0.022000000000000002,1.203,0.061,0.061,G0 V,4.0,2.0,2.0,6092.0,103.0,103.0,,,,0.06267916788433182,0.0026741249420362103,0.0026741249420362103
HD 286123 b,Confirmed,0.39799999999999996,0.037000000000000005,0.037000000000000005,,,,1.0,0.022000000000000002,0.022000000000000002,11.168453999999999,2.3e-05,2.3e-05,0.10400000000000001,0.00081,0.00081,0.258,0.025,0.025,89.14,0.13,0.13,,2018.0,2018-05-04,207.0,3.8,3.8,2457911.5,0.79,1.0,,,,2457825.34978,9.300000000000001e-05,9.300000000000001e-05,,,,,,,0.040999999999999995,0.028999999999999998,0.43,,,,33.4,3.1,3.1,1030.0,15.0,15.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-232 b, EPIC 247098361 b",,HD 286123,73.766666668,18.654444461,9.8,,,,,133.1,4.0,4.0,0.1,0.04,0.04,1.188,0.027999999999999997,0.027999999999999997,1.161,0.024,0.024,F9V,1.43,0.75,0.82,6154.0,60.0,60.0,,,"K2-232, EPIC 247098361",0.09501550102586152,0.007189227191881905,0.007189227191881905
HD 89345 b,Confirmed,0.1123,0.0104,0.0104,,,,0.612,0.0125,0.0125,11.813989999999999,0.00086,0.00086,0.105,0.0013,0.0013,0.203,0.031,0.031,87.7,,,,2018.0,2018-08-17,345.1,20.0,20.0,,,,,,,2457913.8031599997,0.00062,0.00062,,,,,,,0.489,0.064,0.064,,,,9.49,0.84,0.84,1053.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-234 b, EPIC 248777106 b",,HD 89345,154.670833347,10.129166678999999,9.4,,,,,126.6,3.5,3.7,0.45,0.04,0.04,1.12,0.01,0.04,1.6569999999999998,0.004,0.02,G5V,9.4,1.3,0.4,5609.0,69.0,64.0,,,"EPIC 248777106, K2-234",0.1169598709757853,0.007269152946828234,0.007269152946828234
K2-108 b,Confirmed,0.187,0.013999999999999999,0.013999999999999999,,,,0.47100000000000003,0.048,0.048,4.73401,0.00023999999999999998,0.00023999999999999998,0.0573,0.001,0.001,0.18,0.042,0.042,,,,,2016.0,2017-02-02,,,,,,,,,,2457145.0965,0.0019,0.0019,,,,,,,,,,,,,21.3,1.4,1.4,1446.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-108,123.383333344,16.419722232999998,12.33,,,,,262.4,,,0.33,0.04,0.04,1.121,0.053,0.065,1.75,0.14,0.14,,7.8,1.5,1.5,5474.0,60.0,60.0,,,EPIC 211736671,0.4272580714503307,0.1307635538217866,0.1307635538217866
K2-139 b,Confirmed,0.381,0.045,0.045,,,,0.812,0.03,0.03,28.38229,0.00027,0.00027,0.1811,0.0085,0.0085,0.0,,,89.55,0.13,0.13,,2017.0,2017-12-14,,,,,,,,,,2457325.81705,0.00033,0.00033,,,,,,,0.35200000000000004,0.09699999999999999,0.083,,,,26.9,3.2,3.2,555.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-139,289.066666672,-17.910555582,11.7,,,,,152.0,10.0,10.0,0.21,0.05,0.05,0.9179999999999999,0.027999999999999997,0.027999999999999997,0.86,0.031,0.031,,1.8,0.3,0.3,5287.0,60.0,60.0,,,,0.16989018084682453,0.020322968827292832,0.020322968827292832
K2-19 b,Confirmed,0.187,0.0359,0.0231,0.187,0.0359,0.023,0.691,0.035,0.035,7.9194,5e-05,5e-05,0.077,0.013000000000000001,0.008,0.11900000000000001,0.35,0.82,88.83,0.89,1.08,,2015.0,2016-04-06,179.0,52.0,52.0,,,,,,,,,,,,,,,,0.233,0.163,0.213,,,,,,,854.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-19,174.96033335,0.6035833482,12.806,12.567,11.595999999999998,11.208,11.161,291.0,20.0,33.0,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9V,8.0,inf,,5430.0,60.0,60.0,,,EPIC 201505350,0.13530656072347502,0.02079654971609494,0.02112634800492194
K2-237 b,Confirmed,1.2309999999999999,0.043,0.043,,,,1.57,0.054000000000000006,0.054000000000000006,2.1805567000000003,5e-06,5e-06,0.0352,0.001,0.001,,,,85.4,0.4,0.4,,2018.0,2018-07-21,,,,,,,,,,2457656.46338,5.2e-06,5.2e-06,,,,,,,0.451,0.006999999999999999,0.066,,,,168.6,3.1,4.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-237,253.76889166799998,-28.7105639113,11.6,,,,,318.0,7.0,7.0,0.0,0.08,0.08,1.22,0.05,0.05,1.34,0.03,0.03,F6 V,,,,6099.0,110.0,110.0,,,"2MASS 6550453-2842380, EPIC 229426032",0.07593998139462375,0.00848901836308434,0.00848901836308434
K2-260 b,Confirmed,1.39,0.34,0.32,,,,1.5519999999999998,0.057,0.048,2.6266657,1.8000000000000001e-06,2e-06,0.0407,0.0078,0.0071,0.134,0.092,0.124,88.76,1.0,0.86,,2018.0,2018-09-15,262.0,170.0,7.9,2457820.7569999998,0.05,1.281,,,,2457820.73813,9.8e-05,9.1e-05,,,,,,,0.11599999999999999,0.083,0.096,,,,0.174,0.040999999999999995,0.04,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 246911830 b,,K2-260,76.86733334270001,16.8677166848,12.69,,,,,676.0,19.0,19.0,-0.14,0.15,0.15,1.39,0.06,0.06,1.69,0.03,0.03,F6V,1.9,0.3,0.3,6367.0,250.0,250.0,,,K2-260,0.08876689731726983,0.029575337054923694,0.03172590545516962
