# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,density,density_error_max,density_error_min
CoRoT-15 b,Confirmed,63.4,4.1,4.3,63.3,4.0,4.0,1.12,0.15,0.3,3.0603599999999997,2.9999999999999997e-05,2.9999999999999997e-05,0.045,0.01,0.013999999999999999,0.0,,,86.7,3.2,2.3,,2010.0,2015-09-23,,,,,,,,,,2454753.5608,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.11666667600001,6.1862416726600005,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105,10.773246093777933,47.12692076933545,44.38189296269346
CoRoT-33 b,Confirmed,59.2,1.8,1.8,59.0,1.8,1.8,1.1,0.53,0.53,5.819143,1.8e-05,1.8e-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015.0,2015-08-25,179.3,0.87,0.87,,,,,,,2456676.3992,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.641666678,5.624722241000001,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0.0,5.0,5225.0,80.0,80.0,,,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694",10.618301237085127,24.51273153783841,24.51273153783841
EPIC 201637175 b,Confirmed,1.4,1.4,0.0,1.4,1.4,0.0,0.25,0.25,0.0,0.381071,1e-06,1e-06,0.0088,0.0008,0.0008,,,,,,,,2015.0,2015-07-27,,,,,,,,,,2456811.1216,2.4e-05,2.4e-05,,,,,,,0.68,0.06,0.06,,,,280.0,0.0,280.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 201637175 ,169.48333335200002,2.618611125,17.0,,,,,225.0,50.0,50.0,0.03,0.08,0.08,0.6,0.07,0.07,0.57,0.06,0.06,M0V,,,,3830.0,100.0,100.0,,,,21.390424351550735,0.0,70.81490509190833
EPIC 219388192 b,Confirmed,36.5,0.09,0.09,,,,0.937,0.042,0.042,5.292569,2.6000000000000002e-05,2.6000000000000002e-05,0.0593,0.0029,0.0029,0.1929,0.0019,0.0019,90.0,0.7,0.0,,2016.0,2018-08-01,345.9,1.0,1.0,,,,,,,2457346.32942,0.00011,0.00011,,,,,,,0.0,0.0,15.0,,,,4267.0,12.0,12.0,1164.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,CWW 89A b,,EPIC 219388192,289.391666678,-16.871666688,12.5,,,,,300.0,24.0,24.0,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G,3.9,1.9,1.9,5850.0,85.0,85.0,,,"CWW 89A, 2MASS J19173402-1652177",10.592183172469058,1.7139266221131189,1.7139266221131189
HATS-12 b,Confirmed,2.38,0.087,0.087,,,,0.514,0.114,0.06,3.142833,1.1e-05,1.1e-05,0.04795,0.0007700000000000001,0.0007700000000000001,0.085,0.085,0.0,82.7,1.9,1.9,,2016.0,2018-08-15,,,,,,,,,,2456798.9556,0.0012,0.0012,,,,,,,,,,,,,250.6,9.4,9.4,2097.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-12,289.204166683,-19.355833345,12.76,,,,,981.0,94.0,94.0,-0.1,0.04,0.04,1.49,0.07,0.07,2.21,0.2,0.2,F,2.36,0.3,0.3,6408.0,75.0,75.0,,,,4.1840704725443665,1.509778360286066,2.807650869692619
K2-33 b,Confirmed,3.6,3.59999,0.0,,,,0.451,0.033,0.033,5.42513,0.00029,0.00029,0.0409,0.0023,0.0023,0.0,,,89.1,1.1,0.6,,2016.0,2016-06-27,,,,,,,,,,2456898.69288,0.0012,0.0012,,,,,,,0.16,0.11,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 205117205 b,,K2-33,242.562500005,-19.319166675,16.0,,,,,145.0,5.0,5.0,,,,0.54,0.07,0.11,1.06,0.07,0.07,M3.3,0.0095,0.0011,0.0014,3540.0,70.0,70.0,,,EPIC 205117205,9.368806425626184,2.0565672641618447,33.79025166718705
KOI-415 b,Confirmed,62.14,2.69,2.69,,,,0.79,0.07,0.12,166.78805,0.00022,0.00022,0.593,0.013000000000000001,0.013000000000000001,0.698,0.002,0.002,89.31,0.38,0.4,,2013.0,2016-08-10,44.9,0.6,0.6,,,,,,,2455078.14187,0.00063,0.00063,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-415,293.30605000400004,41.6063722393,,,13.049000000000001,,,,,,-0.24,0.11,0.11,0.94,0.06,0.06,1.25,0.1,0.15,G0IV,10.5,2.2,2.2,5810.0,80.0,80.0,,,,30.08855738713482,82.09137283613964,81.33244705536978
NLTT 41135,Confirmed,33.7,2.8,2.8,33.7,2.8,2.8,1.13,0.17,0.27,2.889475,2.5e-05,2.5e-05,0.024,0.001,0.001,,,,87.42,0.5,0.5,,2010.0,2015-10-05,,,,,,,,,,2455002.8023200002,0.00022,0.00022,,,,,,,,,,,,,13189.0,190.0,190.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NLTT 41135,236.516666668,4.691666687,18.0,,,,,22.7,0.8,0.8,0.0,,,0.188,0.022000000000000002,0.026000000000000002,0.21,0.016,0.016,M5.1,,,,3230.0,130.0,130.0,,,,5.5757842543821985,16.115678088670016,15.813710999896122
WASP-128 b,Confirmed,37.19,0.85,0.83,,,,0.937,0.18,0.22,2.208524,2e-05,2.1e-05,0.0359,0.0004,0.00037999999999999997,0.0,0.0,0.006999999999999999,89.1,0.91,0.63,,2018.0,2018-07-20,,,,,,,,,,2456720.6836900003,0.00018999999999999998,0.00018999999999999998,,,,,,,0.11,0.07,0.1,,,,5272.0,16.0,16.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-128,172.858750009,-41.6895277964,12.5,,,,,422.0,6.0,6.0,0.01,0.12,0.12,1.155,0.039,0.039,1.1520000000000001,0.016,0.021,G0V,2.2,0.9,0.9,5950.0,50.0,50.0,,,2MASS J11312609-4141222,10.79241896394861,11.74860309533685,11.083295017715965
