# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,density,density_error_max,density_error_min
HATS-17 b,Confirmed,1.338,0.065,0.065,1.338,0.065,0.065,0.777,0.055999999999999994,0.055999999999999994,16.254610999999997,7.3e-05,7.3e-05,0.1308,0.0012,0.0012,0.028999999999999998,0.022000000000000002,0.022000000000000002,89.08,0.26,0.26,,2016.0,2016-05-06,354.0,,,,,,,,,2457139.1672,0.0014,0.0014,,,,,,,0.187,0.083,0.07400000000000001,,,,99.1,4.4,4.4,814.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-17,192.191666682,-47.613611133999996,12.4,,,,,339.0,16.0,22.0,0.3,0.03,0.03,1.131,0.03,0.03,1.091,0.046,0.07,G,2.1,1.3,1.3,5846.0,78.0,78.0,,,,0.6809331032630783,0.15373782449520432,0.15373782449520432
HATS-22 b,Confirmed,2.74,0.11,0.11,,,,0.953,0.028999999999999998,0.048,4.7228124000000005,5.2e-06,5.2e-06,0.05025,0.00042,0.00042,0.079,0.026000000000000002,0.026000000000000002,87.96,0.21,0.21,,2016.0,2016-07-11,56.0,73.0,73.0,,,,,,,2457070.5803,0.00022,0.00022,,,,,,,0.536,0.064,0.036000000000000004,,,,399.0,15.0,15.0,858.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-22,174.008333334,-29.600555568,13.46,,,,,207.9,6.6,8.9,0.0,0.04,0.04,0.759,0.019,0.019,0.6890000000000001,0.018000000000000002,0.027999999999999997,,4.6,4.0,5.8,4803.0,55.0,55.0,,,,0.7557588675729823,0.14125161354434534,0.10803383290402864
HATS-41 b,Confirmed,9.7,1.6,1.6,,,,1.33,0.2,0.29,4.193649,1.3000000000000001e-05,1.3000000000000001e-05,0.0583,0.001,0.0015,0.38,0.11,0.11,80.4,4.2,2.3,,2018.0,2018-04-16,136.0,18.0,18.0,,,,,,,2456795.724,0.0014,0.0014,,,,,,,0.8490000000000001,0.051,0.028999999999999998,,,,1080.0,190.0,190.0,1710.0,120.0,170.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-41,103.516666668,-27.050277779,17.7,,,,,800.0,110.0,170.0,0.47,0.040999999999999995,0.040999999999999995,1.496,0.075,0.115,1.71,0.24,0.36,,1.34,0.51,0.31,6424.0,91.0,91.0,,,,0.9843016249370713,1.7014168339880684,1.6362860131010333
MASCARA-2 b,Confirmed,17.0,17.0,0.0,,,,1.83,0.07,0.07,3.4741190000000004,6e-07,6e-07,0.057,0.006,0.006,0.0,,,86.4,0.5,0.5,,2018.0,2018-05-14,,,,,,,,,,2457909.5906,0.0003,0.0003,,,,0.6,4.0,4.0,,,,,,,,,,2260.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,MASCARA-2,294.662500013,31.219166673,3.0,,,,,,,,-0.02,0.07,0.07,1.89,0.06,0.06,1.6,0.06,0.06,A2,0.2,0.05,0.1,8980.0,90.0,130.0,,,HD 185603,0.6622272428485744,0.07599329016295117,11.258119612018614
Qatar-3 b,Confirmed,4.31,0.47,0.47,,,,1.0959999999999999,0.14,0.14,2.5079203999999997,9.9e-06,9.9e-06,0.03783,0.0006900000000000001,0.0006900000000000001,,,,86.8,2.0,2.0,,2016.0,2018-08-13,,,,,,,,,,2457302.4530040002,0.0001,0.0001,,,,,,,0.35,0.22,0.22,,,,587.0,58.0,58.0,1681.0,,,84.0,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-3,359.15000001199996,36.21305557,12.88,,,,,,,,-0.040999999999999995,0.081,0.081,1.145,0.064,0.064,1.272,0.14,0.14,G0V,0.31,0.001,0.001,6007.0,52.0,52.0,,,UCAC3 253-304972,0.7815504156890967,0.4739516529474783,0.4739516529474783
Qatar-5 b,Confirmed,4.32,0.18,0.18,,,,1.107,0.064,0.064,2.8792318999999997,9.9e-06,9.9e-06,0.04127,0.0067,0.0067,,,,88.74,0.87,0.87,,2016.0,2016-09-18,,,,,,,,,,2457336.7582400003,9.8e-05,9.8e-05,,,,,,,0.18,0.16,0.16,,,,568.0,15.0,15.0,1415.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-5,7.054166671,42.061388899,12.82,,,,,,,,0.377,0.08,0.08,1.128,0.055999999999999994,0.055999999999999994,1.0759999999999998,0.051,0.051,G2V,0.53,0.004,0.004,5747.0,49.0,49.0,,,UCAC3 265-004681,0.7602427283955769,0.19003336497595355,0.19003336497595355
WASP-162 b,Confirmed,5.2,0.2,0.2,,,,1.0,0.05,0.05,9.62468,1e-05,1e-05,0.0871,0.0013,0.0013,0.434,0.05,0.05,89.3,0.5,0.5,,2018.0,2018-05-15,358.1,2.2,2.2,,,,,,,2457701.3816,0.0006,0.0006,,,,,,,0.18,0.14,0.14,,,,507.0,8.0,8.0,910.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-162,168.29166667,-17.657777797,12.2,,,,,,,,0.28,0.13,0.13,0.95,0.04,0.04,1.11,0.05,0.05,K0,1.0,0.0,10.0,5300.0,100.0,100.0,,,,1.2414085561167838,0.31035213902919595,0.31035213902919595
WASP-86 b,Confirmed,0.821,0.055999999999999994,0.055999999999999994,,,,0.632,0.013000000000000001,0.013999999999999999,5.031555,2e-06,2e-06,0.0617,0.0005,0.0005,,,,89.85,0.2,0.11,,2016.0,2017-04-15,,,,,,,,,,2457103.7527,0.0006,0.0004,,,,,,,0.027000000000000003,0.02,0.036000000000000004,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KELT-12 b,,WASP-86,267.640491678,36.5702194586,10.66,,,,,360.0,25.0,25.0,0.23,0.14,0.14,1.239,0.027999999999999997,0.027999999999999997,1.291,0.013000000000000001,0.013999999999999999,F7,0.8,0.4,0.8,6330.0,110.0,110.0,,,"KELT-12, 2MASS J17503372+3634128, TYC 2619-1057-1 ",0.7764317976179571,0.06747527169424698,0.06470050239677834
WASP-89 b,Confirmed,5.9,0.4,0.4,5.9,0.4,0.4,1.04,0.04,0.04,3.3564227,2.5e-06,2.5e-06,0.0427,0.0012,0.0012,0.193,0.009000000000000001,0.009000000000000001,89.4,0.5,0.5,,2014.0,2015-04-06,28.0,4.0,4.0,,,,,,,2456207.0211400003,0.00011999999999999999,0.00011999999999999999,,,,,,,0.1,0.08,0.08,,,,848.0,13.0,13.0,1120.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-89,313.900000012,-18.971111134,13.1,,,,,,,,0.15,0.14,0.14,0.92,0.08,0.08,0.88,0.03,0.03,K3,1.3,1.5,0.8,4955.0,100.0,100.0,,,,1.252170259127569,0.5212903890457546,0.5212903890457546
